Italian,English
avere,to have
successo,success
ero,I was
donna,woman
nuovo,new one
ah,ha
faccio,I do
aveva,I had
nostro,our
degli,of the
questi,these
siete,you are
forza,force
piace,like it
bella,Pretty
dov',Where '
soldi,money
avevo,I had
favore,favor
fosse,is
altri,others
dispiace,sorry
subito,immediately
dentro,inside
oggi,today
accordo,agreement
tutta,all
faccia,face
nome,first name
ok,ok
notte,night
queste,these
figlio,son
mondo,world
nostra,our
sapere,know
vado,I'm going
tutte,all
aspetta,Wait
amare,love
moglie,wife
sicuro,Safe
suoi,his
penso,I think
paura,fear
idea,idea
testa,head
papà,dad
giusto,right
eh,huh
vorrei,I would like
senti,feeling
presto,soon
uomini,men
ll,The
basta,enough
potrebbe,could
stesso,same
avuto,had
porta,brings
erano,they were
stare,to stay
buona,good
quindi,so
farlo,to do it
appena,just
abbia,has
ragione,reason
sentito,heard
ragazzi,lads
domani,tomorrow
ragazza,lass
ragazzo,boy
insieme,together
sotto,under
volevo,I wanted
pronto,ready
nei,in the
ciò,that is
volte,times
capito,understood
succede,It happens
preso,taken
facendo,doing
piacere,pleasure
morto,died
tuoi,your
capitano,captain
letto,read
storia,history
caso,case
trovato,found
amici,friends
venire,come
dico,I say
capisco,I understand
problema,problem
fino,until
tipo,guy
là,there
qua,here
pensi,think
aver,having
giorni,days
cazzo,dick
okay,okay
nulla,nothing
bello,nice
persone,people
buon,good
terra,Earth
ia,ia
dato,given
secondo,according to
film,movie
nell',in the'
mano,but no
facciamo,let's make
vediamo,we see
vedo,I see
stanno,they are
avrei,I would have
prendere,take
dici,you say
serve,need
morte,death
meno,less
città,city
occhi,eyes
fine,end
Sig.,Mr
ê,And
tesoro,treasure
scusi,excuse me
primo,first
credi,believe
salve,Hello
nave,ship
stiamo,we are
sera,evening
piano,floor
sento,I hear
macchina,car
vostro,your
mani,hands
neanche,not even
dall',dall '
dottore,doctor
quale,which
abbastanza,enough
tardi,late
bel,nice
cuore,heart
famiglia,family
far,to
stati,States
aiuto,Help
diavolo,Devil
nostri,our
col,with the
quasi,almost
polizia,police
capo,boss
avrebbe,it would have
quei,those
mie,my
tornare,return
però,However
contro,against
viene,he comes
mentre,while
scusa,excuse me
sola,one
spero,I hope
quelle,those
trovare,to find
giro,round
anch',NS'
guerra,war
sue,his
bambino,child
strada,Street
vecchio,old
fratello,brother
acqua,water
stasera,this evening
pensavo,I thought
chiama,who loves
persona,person
vedi,you see
fu,it was
anno,year
vostra,your
veramente,truly
finito,all done
marito,husband
minuti,minutes
giù,below
donne,women
bravo,good boy
bambini,children
ricordi,memories
quelli,those
state,been
ore,hours
stavo,I was
dovuto,due
nemmeno,neither
venuto,came
indietro,back
stessa,itself
importa,it matters
nessun,no
punto,point
invece,instead
perso,lost
possibile,possible
ucciso,killed
forte,strong
pensato,thought
dovrebbe,it should
pensa,thinks
poco,little
parla,speak out
farò,Lighthouse
cercando,looking for
l,L
verità,truth
andato,left
quell',that'
re,king
fanno,do
potrei,I could
importante,important
quest',quest '
amo,I love
chiesto,asked
cosi,as
nelle,in
felice,happy
piedi,feet
merda,shit
piccolo,little
prendi,you take
dietro,behind
sapevo,I knew
buongiorno,Good morning
passato,past
dollari,dollars
com',com '
pure,mashed potato
pensare,to think
cinque,five
vicino,near
uscire,go out
conosco,I know
verso,to
altre,other
quattro,four
morire,die
sangue,blood
John,John
eri,you was
almeno,at least
dica,tell
lascia,leaves
vivere,to live
colpa,guilt
portato,brought
entrare,enter
ricordo,I remember
pace,peace
roba,stuff
Jack,Jack
migliore,improve
fate,you do
difficile,hard
settimana,week
ultima,latest
dovrei,I should
fatta,done
conto,bill
stanza,room
fra,between
comunque,Anyway
sentire,feel
numero,number
parlato,spoken
mente,mind
messo,put in order
strano,strange
fortuna,fortune
perdere,lose
tue,your
né,neither
figlia,daughter
molti,lot of
volete,want
dottor,Dr.
parola,word
signori,gentlemen
andata,going
vista,view
vede,sees
nessuna,none
finché,as long as
dare,give
dammi,give me
Mr.,Mr.
mesi,months
fuoco,fire
voleva,He wanted
mangiare,to eat
lasciato,left
figli,sons
serio,serious
paese,country
farà,will make
capire,understand
mezzo,middle
prova,trial
cara,Dear
perche',because'
cane,dog
dimmi,tell me
fossi,I
senso,sense
James,James
riesco,I can
ieri,yesterday
possa,can
potuto,could
scuola,school
S.,S.
possono,can
lavorare,work
significa,it means
resto,rest
vada,go
piccola,small
pare,apparently
bere,drinking
ben,well
cena,dinner
giovane,young
problemi,problems
quanti,how many
gran,great
attimo,moment
ascolta,listens
agli,to
dovresti,you should
corpo,body
musica,music
gioco,game
qual,what
aria,air
sarò,I'll be
farmi,me
magari,let's hope
davanti,front
new,new
chiamo,call
genere,type
libro,book
domanda,request
chiamato,called
passare,pass
dalle,give her
campo,field
lungo,long
torna,returns
paio,pair
stava,he was
finita,over
saranno,they will be
vogliono,they want
hey,hey
cielo,sky
parole,words
auto,car
sorella,sister
nuova,new
stia,is
signorina,Miss
festa,party
spiace,sorry
sopra,on
bisogna,need
vuol,wants
telefono,phone
affari,business
facile,easy
parlando,speaking
caro,expensive
sui,on
pronti,ready
restare,to remain
attenzione,attention
crede,you think
nostre,our
controllo,check
molte,many
unica,unique
dovremmo,we should
farti,you
soltanto,only
piu',more'
buono,good
puttana,bitch
vivo,I live
sappiamo,we know
luce,light
generale,general
qualsiasi,any
vogliamo,we want
ultimo,last
dicono,they say
benissimo,very good
Harry,Harry
foto,photo
unico,unique
onore,honor
ragazze,girls
scritto,written
andate,go
tieni,keep
siano,are
ufficio,office
entra,come in
chiedo,I ask
coraggio,courage
andando,going
venga,come
dieci,ten
credevo,I thought
voglia,wants
potremmo,we could
esatto,exact
credere,believe
tratta,deals with
eravamo,we were
arrivato,arrived
bambina,girl
pistola,pistol
voce,voice
dormire,sleep
lasci,leave
avessi,I had
chiaro,clear
aspetto,appearance
squadra,squad
attento,watch out
cerca,search for
ordine,order
Joey,Joey
arrivederci,until we meet again
arriva,he arrives
armi,weapons
sulle,on
ormai,at this point
maggiore,greater
fretta,rush
sarai,you will be
sacco,sack
fatti,facts
York,York
parli,you speak
colpo,hit
sarei,I would be
m',m '
caffè,coffee
capisci,Do you understand
dicendo,saying
vostri,your
camera,room
alcuni,some
cercare,search for
arrivo,I arrive
aspettare,wait
situazione,situation
faremo,we will
deciso,decided
esattamente,exactly
dev',dev '
addio,goodbye
scena,scene
inglese,English
perfetto,perfect
potete,you can
fammi,do for me
alto,tall
dello,of the
prendo,I catch
conosci,you know
be',be '
sapete,you know
pazzo,crazy
chiami,who do you Love
tornato,got back
sicura,safety
lasciare,to leave
capelli,hair
potere,power
avevi,you had
morti,dead
avrà,will
fantastico,fantastic
matrimonio,marriage
passo,step
portare,bring
aspetti,wait
torno,I return
arrivare,get
guai,trouble
trova,finds
motivo,reason
resta,remains
inizio,Start
smettila,stop that
diventare,become
potresti,you could
n',No '
voluto,would
vanno,they go
disse,She said
morta,dead
de,de
bagno,bath
zio,uncle
futuro,future
sbagliato,wrong
guardi,look
cosi',as'
sicurezza,safety
pezzo,piece
devono,must
venuta,coming
allo,at the
tenente,lieutenant
silenzio,silence
porto,port
uccidere,kill
odio,hate
sull',on '
giocare,to play
lontano,far
durante,during
segreto,secret
sole,Sun
mettere,to put
venite,you come
dirmi,tell me
sistema,system
viaggio,voyage
causa,it causes
r,r
comandante,commander
settimane,weeks
semplice,simple
minuto,minute
divertente,fun
avresti,you would have
grandi,great
presidente,president
bocca,mouth
permesso,permit
vecchia,old woman
culo,ass
sogno,dream
glielo,him
c,c
guardare,to look
probabilmente,probably
vengo,I come
lasciami,leave me
ie,ie
negli,in
do,do
fermo,stopped
zitto,Shut up
vera,real
tante,many
ln,ln
colonnello,colonel
stupido,stupid
Cristo,Christ
conosce,know
fame,hunger
cura,treatment
prigione,prison
finire,finish
farai,do
d,d
buonanotte,good night
Tom,Tom
prossima,next
brava,good
specie,species
prende,takes
piacerebbe,would like to
circa,approximately
funziona,it works
dovete,you have to
brutto,ugly
vattene,get out
sente,hears
cavallo,horse
peccato,sin
mattina,morning
consiglio,advise
cambiare,to change
saperlo,know
usare,to use
naturalmente,of course
continua,continues
scelta,choice
possibilità,possibility
spesso,often
dà,from
dirti,tell you
piuttosto,rather
trovo,I find
fondo,background
ricorda,remember
guardate,watch
ospedale,hospital
qualunque,whatever
Maria,Mary
andrà,will
legge,law
agente,agent
oltre,beyond
avesse,had
servizio,service
tanti,many
messaggio,message
giornata,day
faceva,it was
energia,power
incredibile,incredible
sala,room
mandato,mandate
chiamare,call
doveva,where you go
libero,free
aereo,airplane
ricevuto,received
porti,ports
preoccuparti,worry
uh,uh
finalmente,long last
quali,Which
stronzo,asshole
mostro,monster
sette,seven
pronta,ready
metti,you put
Henry,Henry
programma,program
poteva,he could
parti,set off
saputo,known
partita,match
gentile,Kind
poter,can
freddo,cold
s',s'
piacciono,like
Clark,Clark
vederti,see you
domande,requests
peggio,worse
sanno,know
genitori,parents
amica,friend
solito,usual
anima,soul
terribile,terrible
buonasera,Good evening
oro,gold
occhio,eye
si',Yes'
radio,radio
quante,how much it is
pieno,full
rapporto,relationship
avrai,you will have
alcune,some
provare,try
carino,cute
scoperto,discovered
America,America
denaro,money
compagnia,company
interessante,Interesting
avvocato,lawyer
t',t '
vestito,dress
ottimo,optimal
avevano,they had
esercito,army
vestiti,clothes
treno,train
succedendo,happening
mese,month
impossibile,impossible
chiunque,anyone
vale,worth
nello,in
milioni,millions
cibo,food
tempi,times
jim,jim
piu,more
laggiù,over there
intorno,around
servono,serve
chiave,key
coi,with
diritto,right
dimenticato,forgotten
ve,you
natale,Christmas
calma,calm
altrimenti,otherwise
t,t
Miss,Miss
provato,tried
dirlo,tell
cinema,cinema
chiedere,ask
ritardo,delay
realtà,reality
mare,sea
maestro,master
TV,TV
pagare,to pay
pianeta,planet
fronte,front
addosso,on
entrambi,both of them
dia,dia
cambiato,changed
interessa,interest
assolutamente,absolutely
risposta,reply
rispetto,respect
pena,punishment
Gesù,Jesus
Michael,Michael
incontro,encounter
cercato,looked for
occhiata,look
pensando,thinking
cioè,that is
the,the
notizie,news
sorpresa,surprise
bastardo,Bastard
salute,health
lettera,letter
incidente,accident
grosso,big
soli,just
mica,not
sembrava,It seemed
grado,degree
aiutare,help
sinistra,left
dovevo,I had to
contento,happy
canzone,song
sapeva,He knew
santo,holy
verrà,it will come
saremo,we will be
speciale,special
diceva,he said
posizione,position
gruppo,group
giuro,I swear
